Project,Disection Date,Name,Fish Species,Fish ID,Stomach ID ,Site,Collection Date,Prey Common Name,Prey Wet Weight (g),Prey,# Prey ,Prey Conditions (1-5),Notes
BOEM,45904,Gracie,Atlantic Croaker,CRO239,CRO239gc,EI1,45894,mush ,<0.4,unidentifiable mush ,-,1,
BOEM,45904,Gracie,Atlantic Croaker,CRO240,CRO240gc,EI1,45894,biomatter,<0.5,biomatter,1,4,
BOEM,45904,Gracie,Atlantic Croaker,CRO241,CRO241gc,EI1,45894,mush ,<0.6,unidentifiable mush ,- ,1,
BOEM,45952,Gracie ,Pinfish,PIN303,PIN303gc,EO3,45894,fish eggs ,<0.1,biomatter,>100,4,"yes these are fish eggs probably, but maybe safer to say biomatter?"
BOEM,45952,Sam P,Pinfish,PIN304,PIN304gc,EO3,45894,fish eggs ,<0.1,biomatter,>100,4,
BOEM,45952,Gracie ,Pinfish,PIN305,PIN305gc,EO3,45894,fish eggs ,0.3,biomatter,>100,4,
BOEM,45952,Sam P,Pinfish,PIN306,PIN306gc,EO3,45894,fish eggs ,<0.1,biomatter,>100,4,
BOEM,45952,Gracie ,Pinfish,PIN307,PIN307gc,EO3,45894,fish eggs ,<0.1,biomatter,<50,4,
BOEM,45952,Sam P,Pinfish,PIN308,PIN308gc,EO3,45894,mush,<0.1,unidentifiable mush ,-,1,
BOEM,45952,Gracie ,Pinfish,PIN309,PIN309gc,EO3,45894,"eggs, fish spine ",0.3,biomatter,50,3,
BOEM,45952,Sam P,Pinfish,PIN310,PIN310gc,EO3,45894,fish eggs ,0.2,biomatter,<100,4,
BOEM,45952,Gracie ,Pinfish,PIN311,PIN311gc,EO3,45894,fish eggs ,0.3,biomatter,>100,4,
BOEM,45952,Sam P,Pinfish,PIN312,PIN312gc,EO3,45894,fish eggs ,0.2,biomatter,>100,4,
BOEM,45952,Sam P,Pinfish,PIN314,PIN314gc,EO1,45894,fish bones + sand ,0.2,biomatter,1,2,
BOEM,45952,Sam P,Pinfish,PIN315,PIN315gc,EO1,45894,Mush +plant ,<0.1,veg_biomatter,-,,
