project,dissection_date,dissector,fish_species,fish_id,stomach_id,site,collection_date,prey_common_name,prey_wet_weight,prey_category,n_prey,prey_condition,notes,stomach_id_base,prey_wet_weight_g,prey_category_clean,has_weight,region,position,station
BOEM,45761,Cole,Thread Herring,THH071,THH071gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,THH071gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Dannette,Thread Herring,THH073,THH073gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,THH073gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Cole,Weakfish,WEF024,WEF024gc,EO3,45224,anchovy,9.6,striped anchovy,4,3,"large and heads degraded, id by body ",WEF024gc,9.6,anchovy,TRUE,East,Outer,3
BOEM,45763,Cole,Moonfish,MOF054,MOF054gc,EO3,45224,biomatter,0.4,biomatter,1,2,fish?,MOF054gc,0.4,biomatter,TRUE,East,Outer,3
BOEM,45763,Lindsey,Moonfish,MOF055,MOF055gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,MOF055gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45763,Lindsey,Moonfish,MOF057,MOF057gc,EO3,45224,biomatter,1.3,biomatter,1,3,fish?,MOF057gc,1.3,biomatter,TRUE,East,Outer,3
BOEM,45763,Lindsey,Moonfish,MOF059,MOF059gc,EO3,45224,biomatter,0.2,biomatter,1,2,"fish? tbh this might just be mush, pic isnt good ",MOF059gc,0.2,biomatter,TRUE,East,Outer,3
BOEM,45763,Lindsey,Moonfish,MOF060,MOF060gc,EO3,45224,mush,0.1,unidentifiable mush,-,1,,MOF060gc,0.1,unidentifiable mush,TRUE,East,Outer,3
BOEM,45764,Sam,Striped Anchovy,STA157,STA157gc,EO3,45224,zooplankton,0.2,biomatter,-,2,,STA157gc,0.2,biomatter,TRUE,East,Outer,3
BOEM,45764,Sam,Striped Anchovy,STA160,STA160gc,EO3,45224,zooplankton,0.1,biomatter,-,1,,STA160gc,0.1,biomatter,TRUE,East,Outer,3
